id,title,author,year,genre,description,spine,accent
30,夜,Elie Wiesel,1956,回憶錄,集中營倖存者的見證。獲頒諾貝爾和平獎的作家，以最少的文字承載最沉重的記憶。,#5a3a1a,#d4b985
15,槍砲病菌鋼鐵,Jared Diamond,1997,人類史,為何某些文明征服了其他文明？戴蒙從地理、生態與微生物的角度給出顛覆性的答案。,#2d5a3d,#e8d5a0
16,黑天鵝,N. N. Taleb,2007,機率哲學,那些極不可能發生卻造成巨大衝擊的事件，是如何形塑歷史。一本顛覆風險認知的奇書。,#4a2c5a,#c9a76d
5,小王子,Saint-Exupéry,1943,經典童話,飛行員與來自B612星球的小王子在沙漠中相遇，一段關於愛、責任與孤獨的旅程。,#8b4513,#f0d59c
4,深度工作,Cal Newport,2016,自我成長,在注意力被無限稀釋的時代，如何重拾專注的力量。本書提供具體可行的方法論。,#4a2c5a,#c9a76d
2,紅樓夢,曹雪芹,1791,古典文學,中國章回小說的巔峰之作，以賈寶玉與林黛玉的愛情悲劇為主線，描繪一個家族的興衰與人世的浮沉。,#1f3a5f,#d4b985
1,時間簡史,Stephen Hawking,1988,科普,從大爆炸到黑洞，霍金以平易近人的筆觸帶領讀者走進宇宙最深奧的角落，探索時間與空間的本質。,#7d2a2a,#c9a76d
3,百年孤寂,García Márquez,1967,魔幻寫實,馬康多小鎮七代家族的命運循環，魔幻寫實主義的代表作，諾貝爾文學獎得主經典之作。,#2d5a3d,#e8d5a0
6,雪國,川端康成,1948,日本文學,穿過縣界長長的隧道，便是雪國。川端康成筆下淒美而虛無的東方美學經典。,#5a3a1a,#d4b985
7,人類大歷史,Y. N. Harari,2011,歷史,從認知革命到人工智慧，哈拉瑞重新審視智人如何從非洲草原走向地球的主宰。,#1a4a4a,#e8c89a
9,哈利波特,J.K. Rowling,1997,奇幻小說,一個住在樓梯下儲物間的男孩，發現自己是巫師，從此展開七年魔法學院的冒險旅程。,#2a2a4a,#c9a76d
8,原子習慣,James Clear,2018,習慣養成,每天進步1%，一年後將強大37倍。微小的改變如何造就巨大的人生差異。,#6b1a1a,#d4b985
13,老人與海,Hemingway,1952,美國文學,一個古巴老漁夫獨自出海，與一條巨大馬林魚搏鬥三天三夜。海明威以冰山理論寫下永恆。,#7d2a2a,#c9a76d
12,思考致富,Napoleon Hill,1937,勵志,訪談五百位成功人士後寫下的十三項致富法則，影響世界八十年的經典之作。,#1f4a3a,#d4b985
11,解憂雜貨店,東野圭吾,2012,溫情推理,一間不可思議的雜貨店，能夠回覆來自過去與未來的煩惱。橫跨三十年的奇蹟之夜。,#5f4a1a,#e8d5a0
10,挪威的森林,村上春樹,1987,日本文學,青春、愛情與失去。直子、綠子與渡邊，三十七歲的飛機上回憶起十八歲的那個秋天。,#3a1f1f,#a8845a
14,安娜卡列妮娜,Tolstoy,1877,俄國文學,幸福的家庭都是相似的，不幸的家庭各有各的不幸。托爾斯泰描繪人性最深沉的悲歡。,#1f3a5f,#d4b985
17,生命之詩,無名氏,1923,詩集,收錄四十首抒情短詩，描繪四季流轉、人世悲歡，每一行都是時間沉澱後的回聲。,#8b4513,#f0d59c
18,心靈地圖,M. Scott Peck,1978,心理學,人生苦難重重。承認這個事實，便是一切的開始。心理學經典中的經典。,#5a3a1a,#d4b985
19,駕馭不確定,Annie Duke,2018,決策科學,前職業撲克玩家分享：如何在資訊不全的世界中，做出更聰明的決定。,#1a4a4a,#e8c89a
20,禪與摩托車,R. M. Pirsig,1974,哲學散文,父子騎著摩托車穿越美國的公路旅行，同時也是一場關於品質、價值與自我的哲學思辨。,#6b1a1a,#d4b985
21,咆哮山莊,Emily Brontë,1847,英國文學,荒原上的兩個莊園、兩代人的愛恨情仇。十九世紀最幽暗而熾熱的愛情悲劇。,#2a2a4a,#c9a76d
22,小城三月,蕭紅,1941,中國現代,翠姨的故事。蕭紅以細膩筆觸描繪一個女子在傳統與新時代之間無聲消亡的命運。,#3a1f1f,#a8845a
23,人性弱點,Dale Carnegie,1936,溝通,影響無數政商名流的人際關係寶典，三十條原則教你贏得朋友、影響他人。,#5f4a1a,#e8d5a0
24,原則,Ray Dalio,2017,投資哲學,橋水基金創辦人的人生與工作原則，從一個失敗的交易員到全球最大避險基金的領導者。,#1f4a3a,#d4b985
25,蘇菲的世界,Gaarder,1991,哲學入門,十四歲少女蘇菲收到神秘來信：你是誰？世界從何而來？一部寫給少年的西方哲學史。,#7d2a2a,#c9a76d
26,茶花女,A. Dumas,1848,法國文學,巴黎名妓瑪格麗特與青年阿芒之間的愛情悲劇。茶花是她的標誌，眼淚是她的命運。,#1f3a5f,#d4b985
27,基度山恩仇記,A. Dumas,1844,法國文學,一個被陷害入獄的水手，十四年後化身基督山伯爵歸來。關於背叛、復仇與救贖的史詩。,#2d5a3d,#e8d5a0
28,湖濱散記,Thoreau,1854,自然散文,梭羅獨自住進湖畔小屋兩年又兩個月，記錄一個靈魂如何在簡樸中找到豐盛。,#4a2c5a,#c9a76d
29,異鄉人,Albert Camus,1942,存在主義,今天，媽媽死了。也許是昨天。卡繆以這個冷漠的開頭，掀開一場關於荒謬的哲學審判。,#8b4513,#f0d59c
